,x,y,,x,y,,x,y,,x,y,,avrg,xs,ys,
1,29.09090909,87.27272727,,2.909090909,10.18181818,,2.181818182,11.09090909,,12.72727273,85.45454545,,,1.272727273,8.545454545,-8.545454545
2,56.36363636,178.1818182,,5.272727273,22,,5.818181818,22,,32.72727273,161.8181818,,,3.272727273,16.18181818,-16.18181818
3,134.5454545,283.6363636,,9.272727273,31.45454545,,7.272727273,31.63636364,,61.81818182,265.4545455,,,6.181818182,26.54545455,-26.54545455
4,167.2727273,349.0909091,,11.63636364,42.54545455,,12.36363636,43.63636364,,92.72727273,372.7272727,,,9.272727273,37.27272727,-37.27272727
5,221.8181818,438.1818182,,16.90909091,55.27272727,,20.18181818,67.81818182,,187.2727273,621.8181818,,,18.72727273,62.18181818,-62.18181818
6,223.6363636,520,,26.18181818,79.63636364,,25.81818182,77.09090909,,232.7272727,749.0909091,,,23.27272727,74.90909091,-74.90909091
7,250.9090909,616.3636364,,33.09090909,91.27272727,,31.63636364,88.90909091,,292.7272727,876.3636364,,,29.27272727,87.63636364,-87.63636364
8,300,752.7272727,,40,103.0909091,,39.09090909,93.45454545,,363.6363636,1012.727273,,,36.36363636,101.2727273,-101.2727273
9,412.7272727,1009.090909,,47.09090909,116.3636364,,45.81818182,114.5454545,,432.7272727,1110.909091,,,43.27272727,111.0909091,-111.0909091
10,483.6363636,1130.909091,,55.45454545,128.9090909,,63.27272727,139.0909091,,574.5454545,1374.545455,,,57.45454545,137.4545455,-137.4545455
11,567.2727273,1270.909091,,72.90909091,154,,72.36363636,152.3636364,,676.3636364,1481.818182,,,67.63636364,148.1818182,-148.1818182
12,656.3636364,1323.636364,,84.36363636,164.9090909,,80.72727273,162,,778.1818182,1600,,,77.81818182,160,-160
13,901.8181818,1520,,93.09090909,176.7272727,,92.72727273,174.5454545,,852.7272727,1720,,,85.27272727,172,-172
14,945.4545455,1583.636364,,105.6363636,207.6363636,,100.3636364,187.4545455,,949.0909091,1836.363636,,,94.90909091,183.6363636,-183.6363636
15,1047.272727,1892.727273,,114.1818182,202,,112.7272727,197.6363636,,1169.090909,2058.181818,,,116.9090909,205.8181818,-205.8181818
16,1145.454545,2025.454545,,131.4545455,222.1818182,,121.0909091,208,,1749.090909,2167.272727,,,174.9090909,216.7272727,-216.7272727
17,1247.272727,2112.727273,,145.4545455,234.1818182,,134.5454545,221.0909091,,1374.545455,2270.909091,,,137.4545455,227.0909091,-227.0909091
18,1349.090909,2036.363636,,0,0,,0,0,,1481.818182,2365.454545,,,148.1818182,236.5454545,-236.5454545
19,,0,,0,0,,0,0,,0,0,,,0,0,0
20,,,,0,0,,0,0,,0,0,,,0,0,0
21,,,,0,0,,0,0,,0,0,,,0,0,0
22,0,0,,0,0,,0,0,,0,0,,,0,0,0
23,0,0,,0,0,,0,0,,0,0,,,0,0,0
24,0,0,,0,0,,0,0,,0,0,,,0,0,0
25,0,0,,0,0,,0,0,,0,0,,,0,0,0
